event_id,event_start_timestamp,from_grade,to_grade,operator_ramp_choice,ramp_duration_seconds,valve_wear_index,ambient_temp_c,prior_ash,max_abs_basis_weight_pct_dev,offspec_label,time_to_offspec_s,stabilization_time_seconds,stabilized_within_window,outcome_category,event_duration_seconds
0,2024-01-15 06:00:00,G1_LightBond,G4_Kraft,False,1245,0.10822952539886746,17.14689443403849,10.0,1.285907,0,,0.0,True,clean,2400
1,2024-01-15 06:50:00,G5_Newsprint,G2_StandardBond,True,405,0.4292967592549014,18.938577441359428,6.0,1.292452,0,,0.0,True,clean,2400
2,2024-01-15 07:40:00,G5_Newsprint,G2_StandardBond,False,1210,0.02013031221314225,22.328053508762686,10.0,1.268886,0,,0.0,True,clean,2400
3,2024-01-15 08:30:00,G2_StandardBond,G3_HeavyBond,True,430,0.5230762949881427,25.19587618793633,10.0,1.620252,0,,250.0,True,clean,2400
4,2024-01-15 09:20:00,G5_Newsprint,G1_LightBond,False,1085,0.06933862538536448,21.89579856570857,12.0,1.726877,0,,965.0,True,clean,2400
5,2024-01-15 10:10:00,G3_HeavyBond,G5_Newsprint,False,1155,0.20413344202835323,26.55495197147276,8.0,3.126892,1,405.0,190.0,True,recovered,2400
6,2024-01-15 11:00:00,G1_LightBond,G3_HeavyBond,True,475,0.20926671312206935,20.674210609603367,4.0,1.508677,0,,40.0,True,clean,2400
7,2024-01-15 11:50:00,G4_Kraft,G2_StandardBond,False,1225,0.3894635135791995,22.929201274552916,12.0,2.203919,0,,790.0,True,clean,2400
8,2024-01-15 12:40:00,G4_Kraft,G2_StandardBond,False,1300,0.5608211805241556,21.799482033105452,10.0,2.052447,0,,400.0,True,clean,2400
9,2024-01-15 13:30:00,G3_HeavyBond,G4_Kraft,False,1305,0.29511384270032703,21.445810018950024,10.0,1.17398,0,,0.0,True,clean,2400
10,2024-01-15 14:20:00,G4_Kraft,G5_Newsprint,False,1115,0.2528279697286147,24.89028951539363,6.0,2.838717,1,575.0,875.0,True,recovered,2400
11,2024-01-15 15:10:00,G3_HeavyBond,G5_Newsprint,False,1250,0.025830082392666116,23.886581786791133,4.0,1.655394,0,,605.0,True,clean,2400
12,2024-01-15 16:00:00,G3_HeavyBond,G4_Kraft,True,410,0.3886952354721282,22.853328414707114,4.0,0.925462,0,,0.0,True,clean,2400
13,2024-01-15 16:50:00,G3_HeavyBond,G1_LightBond,True,435,0.07102554432297102,23.999806938590712,6.0,2.461297,0,,95.0,True,clean,2400
14,2024-01-15 17:40:00,G3_HeavyBond,G1_LightBond,False,1235,0.2766358425974224,25.29039403964917,8.0,3.062939,1,545.0,140.0,True,recovered,2400
15,2024-01-15 18:30:00,G2_StandardBond,G1_LightBond,False,1125,0.5739107509565736,18.315390527911926,8.0,2.379732,0,,720.0,True,clean,2400
16,2024-01-15 19:20:00,G2_StandardBond,G1_LightBond,False,1280,0.3437815241772334,22.422153691805,8.0,2.011396,0,,290.0,True,clean,2400
17,2024-01-15 20:10:00,G3_HeavyBond,G1_LightBond,True,400,0.2357596562221001,24.80813540721358,8.0,3.226822,1,175.0,395.0,True,recovered,2400
18,2024-01-15 21:00:00,G2_StandardBond,G4_Kraft,False,1250,0.2942522434006513,19.79990870248767,8.0,0.98278,0,,0.0,True,clean,2400
19,2024-01-15 21:50:00,G2_StandardBond,G3_HeavyBond,True,460,0.5459843651668349,22.62787591305633,6.0,1.35843,0,,0.0,True,clean,2400
20,2024-01-15 22:40:00,G5_Newsprint,G2_StandardBond,True,420,0.3906370286092168,21.740941423640386,12.0,1.266849,0,,0.0,True,clean,2400
21,2024-01-15 23:30:00,G2_StandardBond,G5_Newsprint,False,1275,0.04495943673971285,27.76291281248755,10.0,3.329392,1,575.0,895.0,True,recovered,2400
22,2024-01-16 00:20:00,G5_Newsprint,G3_HeavyBond,False,1145,0.1060525814833568,23.842221737569265,4.0,1.436797,0,,0.0,True,clean,2400
23,2024-01-16 01:10:00,G2_StandardBond,G4_Kraft,False,1225,0.44161978075016795,16.949314981146415,12.0,1.286428,0,,0.0,True,clean,2400
24,2024-01-16 02:00:00,G1_LightBond,G4_Kraft,False,1150,0.5508238046318636,20.625329600037198,6.0,1.67192,0,,180.0,True,clean,2400
25,2024-01-16 02:50:00,G2_StandardBond,G4_Kraft,True,465,0.4695702137439332,16.430679719872032,6.0,1.738394,0,,90.0,True,clean,2400
26,2024-01-16 03:40:00,G3_HeavyBond,G4_Kraft,True,425,0.041068968115213655,24.898765409610235,6.0,1.00621,0,,0.0,True,clean,2400
27,2024-01-16 04:30:00,G5_Newsprint,G2_StandardBond,False,1210,0.5002837533923423,23.647711953641384,6.0,2.317666,0,,440.0,True,clean,2400
28,2024-01-16 05:20:00,G1_LightBond,G4_Kraft,False,1280,0.18224142527145226,23.869138150789905,10.0,1.59869,0,,65.0,True,clean,2400
29,2024-01-16 06:10:00,G2_StandardBond,G1_LightBond,True,455,0.2792558342275429,21.859260117072576,6.0,2.420813,0,,75.0,True,clean,2400
30,2024-01-16 07:00:00,G3_HeavyBond,G2_StandardBond,False,1165,0.24892861508928404,22.174686426940305,8.0,1.281425,0,,0.0,True,clean,2400
31,2024-01-16 07:50:00,G2_StandardBond,G1_LightBond,True,450,0.23488624977950426,27.44553583351223,10.0,3.38188,1,120.0,445.0,True,recovered,2400
32,2024-01-16 08:40:00,G1_LightBond,G5_Newsprint,False,1305,0.40327043296716414,21.874989468445758,8.0,2.226487,0,,25.0,True,clean,2400
33,2024-01-16 09:30:00,G4_Kraft,G5_Newsprint,False,1140,0.48902448717921065,19.29470139282835,4.0,2.153413,0,,845.0,True,clean,2400
34,2024-01-16 10:20:00,G2_StandardBond,G1_LightBond,True,395,0.3905495816434865,18.0214267076129,4.0,3.063995,1,225.0,345.0,True,recovered,2400
35,2024-01-16 11:10:00,G4_Kraft,G1_LightBond,False,1235,0.41087079527228854,24.429331935887344,8.0,2.894298,1,475.0,1220.0,True,recovered,2400
36,2024-01-16 12:00:00,G3_HeavyBond,G1_LightBond,False,1200,0.2886141002574861,25.645407310860193,8.0,2.948582,1,595.0,1185.0,True,recovered,2400
37,2024-01-16 12:50:00,G5_Newsprint,G4_Kraft,False,1270,0.5083565998558263,32.606459680852886,8.0,3.804487,1,480.0,65.0,True,recovered,2400
38,2024-01-16 13:40:00,G3_HeavyBond,G1_LightBond,False,1095,0.2735274149865919,19.94133627131171,6.0,2.011503,0,,255.0,True,clean,2400
39,2024-01-16 14:30:00,G5_Newsprint,G4_Kraft,False,1170,0.4316753899201109,19.796989053915475,8.0,1.727639,0,,60.0,True,clean,2400
40,2024-01-16 15:20:00,G1_LightBond,G3_HeavyBond,False,1265,0.18749142693145654,26.951613201237212,6.0,2.506229,1,720.0,85.0,True,recovered,2400
41,2024-01-16 16:10:00,G4_Kraft,G2_StandardBond,False,1080,0.3979927619865309,20.09674709156594,12.0,1.801928,0,,415.0,True,clean,2400
42,2024-01-16 17:00:00,G5_Newsprint,G3_HeavyBond,True,405,0.25770106820918565,22.310194380251193,10.0,1.711905,0,,35.0,True,clean,2400
43,2024-01-16 17:50:00,G5_Newsprint,G2_StandardBond,False,1125,0.49479940905774517,21.295175767623387,12.0,1.968843,0,,265.0,True,clean,2400
44,2024-01-16 18:40:00,G5_Newsprint,G2_StandardBond,False,1165,0.39303256555445565,22.597430542687484,10.0,1.755109,0,,145.0,True,clean,2400
45,2024-01-16 19:30:00,G2_StandardBond,G5_Newsprint,True,390,0.38197468126573764,25.08196913470048,10.0,2.686132,1,210.0,330.0,True,recovered,2400
46,2024-01-16 20:20:00,G1_LightBond,G4_Kraft,False,1095,0.3246811186274132,24.768381369117417,4.0,1.515151,0,,25.0,True,clean,2400
47,2024-01-16 21:10:00,G5_Newsprint,G2_StandardBond,True,465,0.21059481959226467,21.51168684508708,6.0,1.154638,0,,0.0,True,clean,2400
48,2024-01-16 22:00:00,G5_Newsprint,G3_HeavyBond,True,465,0.19143715547354925,19.659362360082064,10.0,2.343108,0,,45.0,True,clean,2400
49,2024-01-16 22:50:00,G1_LightBond,G5_Newsprint,False,1150,0.3330142216820704,23.031563434456668,12.0,1.950244,0,,165.0,True,clean,2400
50,2024-01-16 23:40:00,G5_Newsprint,G1_LightBond,False,1305,0.4285264630028116,25.84709706089382,4.0,2.935449,1,410.0,150.0,True,recovered,2400
51,2024-01-17 00:30:00,G1_LightBond,G4_Kraft,False,1190,0.5924265695520939,22.481281847998503,8.0,2.352242,0,,75.0,True,clean,2400
52,2024-01-17 01:20:00,G2_StandardBond,G4_Kraft,False,1105,0.37902518703899496,20.751178449831876,6.0,1.269872,0,,0.0,True,clean,2400
53,2024-01-17 02:10:00,G2_StandardBond,G5_Newsprint,True,475,0.5502246259249959,20.027364125726265,6.0,2.148671,0,,350.0,True,clean,2400
54,2024-01-17 03:00:00,G3_HeavyBond,G4_Kraft,False,1130,0.29734795146114057,24.750177519084097,4.0,1.692162,0,,435.0,True,clean,2400
55,2024-01-17 03:50:00,G5_Newsprint,G3_HeavyBond,False,1235,0.7645674004234981,24.667413416787017,6.0,2.548325,1,670.0,345.0,True,recovered,2400
56,2024-01-17 04:40:00,G2_StandardBond,G3_HeavyBond,False,1315,0.4495414944518883,22.635376433659545,12.0,1.619999,0,,605.0,True,clean,2400
